task,condition,video,robot,first_clear_motion_s,exclude_at_s,exclude_reason
exploration,baseline,2026-09-13 18-48-05_exp_base.mp4,2,1.2,,No verified completion/handling cutoff available
exploration,llm,2026-09-13 18-50-42_exp_llm.mp4,0,2.4,,No verified completion/handling cutoff available
exploration,llm,2026-09-13 18-50-42_exp_llm.mp4,1,2.4,,No verified completion/handling cutoff available
exploration,llm,2026-09-13 18-50-42_exp_llm.mp4,2,0.4,,No verified completion/handling cutoff available
patrolling,baseline,2026-09-13 12-25-28_base.mp4,0,2.2,34.8,Observed ordered blue reach
patrolling,baseline,2026-09-13 12-25-28_base.mp4,1,3.8,129.4,Human handling visible by candidate pre-frame; exclude from this time onward
patrolling,baseline,2026-09-13 12-25-28_base.mp4,2,0.6,138.8,Observed ordered blue reach
patrolling,llm,2026-09-13 12-36-00_llm.mp4,0,3.6,165.8,Observed ordered blue reach
patrolling,llm,2026-09-13 12-36-00_llm.mp4,1,2.4,211.6,Observed ordered blue reach
patrolling,llm,2026-09-13 12-36-00_llm.mp4,2,0.2,100.8,Observed ordered blue reach
patrolling,baseline,2026-09-13 12-41-54_base.mp4,0,3.2,50.4,Human handling visible by candidate pre-frame; exclude from this time onward
patrolling,baseline,2026-09-13 12-41-54_base.mp4,1,3.6,114.0,Observed ordered blue reach
patrolling,baseline,2026-09-13 12-41-54_base.mp4,2,0.8,86.0,Human handling visible by candidate pre-frame; exclude from this time onward
patrolling,llm,2026-09-13 12-45-21_llm_best.mp4,0,4.4,,No verified completion/handling cutoff available
patrolling,llm,2026-09-13 12-45-21_llm_best.mp4,1,3.2,92.80000000000001,Human handling visible by candidate pre-frame; exclude from this time onward
patrolling,llm,2026-09-13 12-45-21_llm_best.mp4,2,1.2,122.8,Observed ordered blue reach
patrolling,baseline,2026-09-13 12-53-56_base.mp4,0,5.2,134.8,Human handling visible by candidate pre-frame; exclude from this time onward
patrolling,baseline,2026-09-13 12-53-56_base.mp4,1,4.4,,No verified completion/handling cutoff available
patrolling,baseline,2026-09-13 12-53-56_base.mp4,2,1.8,,No verified completion/handling cutoff available
patrolling,llm,2026-09-13 12-59-50_llm.mp4,0,1.6,,No verified completion/handling cutoff available
patrolling,llm,2026-09-13 12-59-50_llm.mp4,1,2.8,,No verified completion/handling cutoff available
patrolling,llm,2026-09-13 12-59-50_llm.mp4,2,1.4,,No verified completion/handling cutoff available
patrolling,baseline,2026-09-13 13-06-27_base.mp4,0,1.4,,No verified completion/handling cutoff available
patrolling,baseline,2026-09-13 13-06-27_base.mp4,1,6.6,,No verified completion/handling cutoff available
patrolling,baseline,2026-09-13 13-06-27_base.mp4,2,1.4,,No verified completion/handling cutoff available
patrolling,llm,2026-09-13 13-11-04_llm.mp4,0,3.4,78.6,Reviewed final blue approach followed by completion parking; exclude robot at later close pass
patrolling,llm,2026-09-13 13-11-04_llm.mp4,1,5.4,,No verified completion/handling cutoff available
patrolling,llm,2026-09-13 13-11-04_llm.mp4,2,0.2,155.4,Human handling visible by candidate pre-frame; exclude from this time onward
patrolling,baseline,2026-09-13 13-18-40_base.mp4,0,4.8,59.6,Human handling visible by candidate pre-frame; exclude from this time onward
patrolling,baseline,2026-09-13 13-18-40_base.mp4,1,3.6,,No verified completion/handling cutoff available
patrolling,baseline,2026-09-13 13-18-40_base.mp4,2,1.4,79.60000000000001,Human handling visible by candidate pre-frame; exclude from this time onward
patrolling,llm,2026-09-13 13-22-01_llm.mp4,0,0.8,193.4,Human handling visible by candidate pre-frame; exclude from this time onward
patrolling,llm,2026-09-13 13-22-01_llm.mp4,1,4.8,,No verified completion/handling cutoff available
patrolling,llm,2026-09-13 13-22-01_llm.mp4,2,0.2,,No verified completion/handling cutoff available
patrolling,baseline,2026-09-13 16-31-31_base.mp4,0,0.4,66.4,Human handling visible by candidate pre-frame; exclude from this time onward
patrolling,baseline,2026-09-13 16-31-31_base.mp4,1,0.4,,No verified completion/handling cutoff available
patrolling,baseline,2026-09-13 16-31-31_base.mp4,2,1.2,89.0,Human handling visible by candidate pre-frame; exclude from this time onward
patrolling,llm,2026-09-13 16-35-23_llm.mp4,0,3.6,,No verified completion/handling cutoff available
patrolling,llm,2026-09-13 16-35-23_llm.mp4,1,4.4,,No verified completion/handling cutoff available
patrolling,llm,2026-09-13 16-35-23_llm.mp4,2,3.6,,No verified completion/handling cutoff available
patrolling,baseline,2026-09-13 16-41-51_base.mp4,0,4.8,,No verified completion/handling cutoff available
patrolling,baseline,2026-09-13 16-41-51_base.mp4,1,5.0,,No verified completion/handling cutoff available
patrolling,baseline,2026-09-13 16-41-51_base.mp4,2,2.6,194.6,Observed ordered blue reach
patrolling,llm,2026-09-13 16-49-26_llm.mp4,0,4.8,111.80000000000001,Human handling visible by candidate pre-frame; exclude from this time onward
patrolling,llm,2026-09-13 16-49-26_llm.mp4,1,3.6,,No verified completion/handling cutoff available
patrolling,llm,2026-09-13 16-49-26_llm.mp4,2,1.2,43.8,Observed ordered blue reach
patrolling,baseline,2026-09-13 16-55-09_base.mp4,0,4.4,,No verified completion/handling cutoff available
patrolling,baseline,2026-09-13 16-55-09_base.mp4,1,5.6,79.6,Observed ordered blue reach
patrolling,baseline,2026-09-13 16-55-09_base.mp4,2,2.8,,No verified completion/handling cutoff available
patrolling,llm,2026-09-13 17-02-34_llm.mp4,0,0.4,,No verified completion/handling cutoff available
patrolling,llm,2026-09-13 17-02-34_llm.mp4,1,1.2,,No verified completion/handling cutoff available
patrolling,llm,2026-09-13 17-02-34_llm.mp4,2,0.4,,No verified completion/handling cutoff available
patrolling,baseline,2026-09-13 17-10-48_baseline.mp4,0,6.2,,No verified completion/handling cutoff available
patrolling,baseline,2026-09-13 17-10-48_baseline.mp4,1,5.2,,No verified completion/handling cutoff available
patrolling,baseline,2026-09-13 17-10-48_baseline.mp4,2,2.6,53.8,Human handling visible by candidate pre-frame; exclude from this time onward
patrolling,llm,2026-09-13 17-17-42_llm.mp4,0,4.4,,No verified completion/handling cutoff available
patrolling,llm,2026-09-13 17-17-42_llm.mp4,1,4.2,,No verified completion/handling cutoff available
patrolling,llm,2026-09-13 17-17-42_llm.mp4,2,2.8,,No verified completion/handling cutoff available
patrolling,baseline,2026-09-13 17-23-51_base.mp4,0,6.8,,No verified completion/handling cutoff available
patrolling,baseline,2026-09-13 17-23-51_base.mp4,1,4.8,,No verified completion/handling cutoff available
patrolling,baseline,2026-09-13 17-23-51_base.mp4,2,2.0,,No verified completion/handling cutoff available
patrolling,llm,2026-09-13 17-30-52_llm.mp4,0,4.6,,No verified completion/handling cutoff available
patrolling,llm,2026-09-13 17-30-52_llm.mp4,1,3.4,85.80000000000001,Human handling visible by candidate pre-frame; exclude from this time onward
patrolling,llm,2026-09-13 17-30-52_llm.mp4,2,2.0,,No verified completion/handling cutoff available
