candidate_id,task,condition,video,elapsed_s,contact_type,robot,other,distance_m,review_status,review_reason,review_png
48,patrolling,llm,2026-09-13 12-45-21_llm_best.mp4,93.4,wall,1,bottom,0.088792,rejected,Human handling/removal; excluded from autonomous collisions.,collision_review/candidate_review_06.jpg
49,patrolling,llm,2026-09-13 12-45-21_llm_best.mp4,100.6,wall,2,right,0.14392899999999997,rejected,Proximity/avoidance or setup; no visible physical contact established.,collision_review/candidate_review_06.jpg
50,patrolling,baseline,2026-09-13 12-53-56_base.mp4,135.4,wall,0,right,0.0700639999999999,rejected,Human handling/removal; excluded from autonomous collisions.,collision_review/candidate_review_06.jpg
51,patrolling,baseline,2026-09-13 12-53-56_base.mp4,136.2,wall,0,right,0.0601560000000001,rejected,Human handling/removal; excluded from autonomous collisions.,collision_review/candidate_review_06.jpg
52,patrolling,baseline,2026-09-13 12-53-56_base.mp4,136.4,pillar,0,green,0.033794331477334995,rejected,Human handling/removal; excluded from autonomous collisions.,collision_review/candidate_review_06.jpg
53,patrolling,llm,2026-09-13 13-11-04_llm.mp4,0.0,wall,0,left,0.104359,rejected,Proximity/avoidance or setup; no visible physical contact established.,collision_review/candidate_review_06.jpg
54,patrolling,llm,2026-09-13 13-11-04_llm.mp4,4.6,wall,1,top,0.14438400000000007,rejected,Proximity/avoidance or setup; no visible physical contact established.,collision_review/candidate_review_06.jpg
55,patrolling,llm,2026-09-13 13-11-04_llm.mp4,95.0,wall,2,right,0.1493549999999999,rejected,Proximity/avoidance or setup; no visible physical contact established.,collision_review/candidate_review_07.jpg
56,patrolling,llm,2026-09-13 13-11-04_llm.mp4,156.0,wall,2,left,0.060259,rejected,Human handling/removal; excluded from autonomous collisions.,collision_review/candidate_review_07.jpg
57,patrolling,llm,2026-09-13 13-11-04_llm.mp4,166.8,wall,1,right,0.14233299999999982,rejected,Proximity/avoidance or setup; no visible physical contact established.,collision_review/candidate_review_07.jpg
58,patrolling,baseline,2026-09-13 13-18-40_base.mp4,60.2,wall,0,bottom,0.113563,rejected,Human handling/removal; excluded from autonomous collisions.,collision_review/candidate_review_07.jpg
59,patrolling,baseline,2026-09-13 13-18-40_base.mp4,80.2,wall,2,left,0.055124,rejected,Human handling/removal; excluded from autonomous collisions.,collision_review/candidate_review_07.jpg
60,patrolling,baseline,2026-09-13 13-18-40_base.mp4,80.2,wall,2,bottom,0.144371,rejected,Human handling/removal; excluded from autonomous collisions.,collision_review/candidate_review_07.jpg
61,patrolling,llm,2026-09-13 13-22-01_llm.mp4,0.0,wall,0,top,0.12410500000000013,rejected,Proximity/avoidance or setup; no visible physical contact established.,collision_review/candidate_review_07.jpg
62,patrolling,llm,2026-09-13 13-22-01_llm.mp4,194.0,wall,0,bottom,0.052372,rejected,Human handling/removal; excluded from autonomous collisions.,collision_review/candidate_review_07.jpg
63,patrolling,llm,2026-09-13 13-22-01_llm.mp4,257.0,wall,2,right,0.1499999999999999,rejected,Proximity/avoidance or setup; no visible physical contact established.,collision_review/candidate_review_07.jpg
64,patrolling,baseline,2026-09-13 16-31-31_base.mp4,67.0,wall,0,bottom,0.084244,rejected,Human handling/removal; excluded from autonomous collisions.,collision_review/candidate_review_08.jpg
65,patrolling,baseline,2026-09-13 16-31-31_base.mp4,89.6,wall,2,bottom,0.112683,rejected,Human handling/removal; excluded from autonomous collisions.,collision_review/candidate_review_08.jpg
66,patrolling,llm,2026-09-13 16-35-23_llm.mp4,216.4,pillar,2,green,0.32277899698245577,rejected,User confirmed this pillar approach is not a collision.,collision_review/candidate_review_08.jpg
67,patrolling,llm,2026-09-13 16-35-23_llm.mp4,219.8,pillar,2,green,0.3191571357466414,rejected,User confirmed this pillar approach is not a collision.,collision_review/candidate_review_08.jpg
68,patrolling,baseline,2026-09-13 16-41-51_base.mp4,279.2,pillar,1,red,0.29077512718422094,rejected,User confirmed this pillar approach is not a collision.,collision_review/candidate_review_08.jpg
69,patrolling,baseline,2026-09-13 16-41-51_base.mp4,280.6,pillar,1,red,0.18393593378673953,rejected,User confirmed this pillar approach is not a collision.,collision_review/candidate_review_08.jpg
70,patrolling,llm,2026-09-13 16-49-26_llm.mp4,74.0,pillar,0,green,0.29358568856298145,rejected,Proximity/avoidance or setup; no visible physical contact established.,collision_review/candidate_review_08.jpg
71,patrolling,llm,2026-09-13 16-49-26_llm.mp4,112.4,wall,0,left,0.030318,rejected,Human handling/removal; excluded from autonomous collisions.,collision_review/candidate_review_08.jpg
72,patrolling,llm,2026-09-13 16-49-26_llm.mp4,112.4,wall,0,bottom,0.110449,rejected,Human handling/removal; excluded from autonomous collisions.,collision_review/candidate_review_08.jpg
73,patrolling,baseline,2026-09-13 16-55-09_base.mp4,1.2,wall,2,right,0.08767300000000011,rejected,Proximity/avoidance or setup; no visible physical contact established.,collision_review/candidate_review_09.jpg
74,patrolling,baseline,2026-09-13 17-10-48_baseline.mp4,2.4,wall,2,top,0.1471079999999998,rejected,Proximity/avoidance or setup; no visible physical contact established.,collision_review/candidate_review_09.jpg
75,patrolling,baseline,2026-09-13 17-10-48_baseline.mp4,54.4,wall,2,bottom,0.035349,rejected,Human handling/removal; excluded from autonomous collisions.,collision_review/candidate_review_09.jpg
76,patrolling,llm,2026-09-13 17-17-42_llm.mp4,2.2,wall,2,top,0.1385909999999999,rejected,Proximity/avoidance or setup; no visible physical contact established.,collision_review/candidate_review_09.jpg
77,patrolling,llm,2026-09-13 17-30-52_llm.mp4,0.0,wall,2,left,0.058582,rejected,Proximity/avoidance or setup; no visible physical contact established.,collision_review/candidate_review_09.jpg
78,patrolling,llm,2026-09-13 17-30-52_llm.mp4,58.6,wall,0,right,0.13036899999999996,rejected,Proximity/avoidance or setup; no visible physical contact established.,collision_review/candidate_review_09.jpg
79,patrolling,llm,2026-09-13 17-30-52_llm.mp4,75.4,wall,0,right,0.14285399999999981,rejected,Proximity/avoidance or setup; no visible physical contact established.,collision_review/candidate_review_09.jpg
80,patrolling,llm,2026-09-13 17-30-52_llm.mp4,86.4,wall,1,left,0.027933,rejected,Human handling/removal; excluded from autonomous collisions.,collision_review/candidate_review_09.jpg
81,patrolling,llm,2026-09-13 17-30-52_llm.mp4,86.4,wall,1,bottom,0.08722,rejected,Human handling/removal; excluded from autonomous collisions.,collision_review/candidate_review_09.jpg
